,Index,Dis No,Year,Disaster Subtype,Country,ISO,Region,Continent,Associated Dis,Associated Dis2,Appeal,Declaration,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,CPI,Location,Code,country,latitude,longitude,name,num,GDP_Scale,GDP_value,HE_value,FAO_Item,FAO_Value,Population_value,No,Index
40,15,1996-0153-PAK,1996,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,40.0,1996,6,19.0,1996,6,19.0,32.0,,,,,57.8847058823529,Karachi,PA,PA,8.537981,-80.782127,Panama,15,Millions,...,,"Cereals, Total",20463,127349.0,15,15
41,15,1996-0153-PAK,1996,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,40.0,1996,6,19.0,1996,6,19.0,32.0,,,,,57.8847058823529,Karachi,PA,PA,8.537981,-80.782127,Panama,15,Millions,...,,Fruit Primary,98333,127349.0,15,15
42,15,1996-0153-PAK,1996,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,40.0,1996,6,19.0,1996,6,19.0,32.0,,,,,57.8847058823529,Karachi,PA,PA,8.537981,-80.782127,Panama,15,Millions,...,,"Milk, Total",10760,127349.0,15,15
43,15,1996-0153-PAK,1996,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,40.0,1996,6,19.0,1996,6,19.0,32.0,,,,,57.8847058823529,Karachi,PA,PA,8.537981,-80.782127,Panama,15,Millions,...,,Vegetables Primary,134296,127349.0,15,15
44,16,1997-0334-PAK,1997,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,46.0,1997,6,16.0,1997,6,16.0,100.0,,,,,59.2378657336541,N.A. on the source,PA,PA,8.537981,-80.782127,Panama,16,Millions,...,,"Cereals, Total",20442,131057.0,16,16
45,16,1997-0334-PAK,1997,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,46.0,1997,6,16.0,1997,6,16.0,100.0,,,,,59.2378657336541,N.A. on the source,PA,PA,8.537981,-80.782127,Panama,16,Millions,...,,Fruit Primary,98799,131057.0,16,16
46,16,1997-0334-PAK,1997,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,46.0,1997,6,16.0,1997,6,16.0,100.0,,,,,59.2378657336541,N.A. on the source,PA,PA,8.537981,-80.782127,Panama,16,Millions,...,,"Milk, Total",10734,131057.0,16,16
47,16,1997-0334-PAK,1997,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,46.0,1997,6,16.0,1997,6,16.0,100.0,,,,,59.2378657336541,N.A. on the source,PA,PA,8.537981,-80.782127,Panama,16,Millions,...,,Vegetables Primary,134776,131057.0,16,16
48,17,1998-0217-IND,1998,Heat wave,India,IND,Southern Asia,Asia,,,,,50.0,1998,5,26.0,1998,5,26.0,2541.0,,,,,60.1574108900066,"Orissa, Andhra Pradesh, Rajasthan, Madhya Pradesh, Uttar Pradesh, Gujarat states",IN,IN,20.593684,78.96288,India,17,Millions,...,,"Cereals, Total",22484,1019484.0,17,17
49,17,1998-0217-IND,1998,Heat wave,India,IND,Southern Asia,Asia,,,,,50.0,1998,5,26.0,1998,5,26.0,2541.0,,,,,60.1574108900066,"Orissa, Andhra Pradesh, Rajasthan, Madhya Pradesh, Uttar Pradesh, Gujarat states",IN,IN,20.593684,78.96288,India,17,Millions,...,,Fruit Primary,120749,1019484.0,17,17
