,Dis No,Year,Disaster Subtype,Country,ISO,Region,Continent,Associated Dis,Associated Dis2,Appeal,Declaration,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,CPI,Location,Code,country,latitude,longitude,name,num,GDP_Scale,GDP_value,HE_value,Cereals,Fruit,Milk,Vegetables,Population_value
40,2003-0391-LUX,2003,Heat wave,Luxembourg,LUX,Western Europe,Europe,,,,,,2003,7,,2003,7,,170,,,,,67.88889569,"Diekirch, Grevenmacher, Luxembourg provinces",LU,LU,49.815273,6.129583,Luxembourg,63,Millions,26227.287,4607.402832,56780,69270,58670,166842,447
41,2003-0250-PAK,2003,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,50,2003,5,1,2003,6,6,200,,,,,67.88889569,Punjab province,PA,PA,8.537981,-80.782127,Panama,65,Millions,...,14.45083237,23206,79261,11965,128218,153093
42,2003-0391-PRT,2003,Heat wave,Portugal,PRT,Southern Europe,Europe,,,,,,2003,8,,2003,8,,2696,,,,,67.88889569,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",PR,PR,18.220833,-66.590149,Puerto Rico,66,Millions,146067.858,1443.37793,26432,60598,24085,286199,10430
43,2004-0333-ROU,2004,Heat wave,Romania,ROU,Eastern Europe,Europe,,,,,38,2004,7,1,2004,7,,27,,,,,69.70644216,"Alba, Arad, Arges, Bacau, Bihor, Bistrita-nasaud, Botosani, Braila, Brasov, Bucuresti, Buzau, Calarasi, Caras-severin, Cluj, Constanta, Covasna, Dimbovita, Boj, Galati, Giurgiu, Gorj, Harghita, Hunedoara, Ialomita, Iasi, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea provinces",RO,RO,45.943161,24.96676,Romania,68,Millions,244688.3,190.7950592,39974,85046,7793,166291,21578
44,2005-0323-BGD,2005,Heat wave,Bangladesh,BGD,Southern Asia,Asia,,,,,,2005,7,,2005,7,,,,,,,72.07141045,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces",BG,BG,42.733883,25.48583,Bulgaria,70,Millions,4301025.457,11.60705376,36816,77141,1108,64733,139036
45,2005-0323-IND,2005,Heat wave,India,IND,Southern Asia,Asia,,,,,49,2005,6,,2005,6,,329,,,,,72.07141045,"Uttar Pradesh, Bihar, West Bengal, Orissa, Maharashtra, Andhra Pradesh provinces",IN,IN,20.593684,78.96288,India,72,Millions,34958200,27.66702271,24116,107592,8875,122951,1147610
46,2006-0383-BEL,2006,Heat wave,Belgium,BEL,Western Europe,Europe,,,,,,2006,6,,2006,7,,940,,,,,74.39638749,"Vlaams Geweest, Region de bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne",BE,BE,50.503887,4.469936,Belgium,73,Millions,325151.5,3558.121338,83733,330245,54792,306088,10619
47,2006-0383-DEU,2006,Heat wave,Germany,DEU,Western Europe,Europe,,,,,,2006,7,15,2006,7,23,2,,,,,74.39638749,"Dresden city (Dresden district, Sachsen province), Brombach lake (Mittelfranken district, Bayern province)",DE,DE,51.165691,10.451526,Germany,74,Millions,2385080,3697.921631,64866,145958,68080,291683,81472
48,2006-0383-ESP,2006,Heat wave,Spain,ESP,Southern Europe,Europe,,,,,40,2006,7,15,2006,8,4,21,,,,,74.39638749,"Cataluña/Catalunya, Comunitat Valenciana provinces",ES,ES,40.463667,-3.74922,Spain,75,Millions,1003823,2242.178223,30282,107971,14251,341527,44729
49,2006-0383-FRA,2006,Heat wave,France,FRA,Western Europe,Europe,,,,,37,2006,7,15,2006,7,23,1388,,,,,74.39638749,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",FR,FR,46.227638,2.213749,France,76,Millions,1848151,3811.551758,68005,97373,38773,235498,61509
50,2006-0237-IND,2006,Heat wave,India,IND,Southern Asia,Asia,,,,,,2006,5,,2006,5,,47,,,,,74.39638749,"Uttar Pradesh, Orissa, Punjab, Delhi provinces",IN,IN,20.593684,78.96288,India,77,Millions,40486400,29.56233788,24465,108451,9281,129580,1165486
51,2005-0347-PAK,2005,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,50,2005,6,13,2005,6,28,106,200,,,200,72.07141045,"Punjab, Sindh, Balochistan provinces",PA,PA,8.537981,-80.782127,Panama,78,Millions,...,19.88389397,26158,88536,12022,130067,160304
52,2005-0820-PRT,2005,Heat wave,Portugal,PRT,Southern Europe,Europe,,,,,,2005,6,,2005,8,,462,,,,,72.07141045,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu",PR,PR,18.220833,-66.590149,Puerto Rico,79,Millions,158552.704,1814.354492,21140,60887,24974,308316,10508
53,2005-0756-ROU,2005,Heat wave,Romania,ROU,Eastern Europe,Europe,,,,,36,2005,7,27,2005,8,1,13,500,,,500,72.07141045,Bucuresti province,RO,RO,45.943161,24.96676,Romania,80,Millions,286861.9,254.5296173,33342,68398,7889,128794,21417
54,2006-0254-PAK,2006,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,50,2006,5,,2006,5,,84,100,,,100,74.39638749,"Punjab, Sindh, Balotchistan provinces",PA,PA,8.537981,-80.782127,Panama,83,Millions,8216160,24.99266052,25540,87411,12842,129621,164023
55,2006-0383-PRT,2006,Heat wave,Portugal,PRT,Southern Europe,Europe,,,,,,2006,7,,2006,7,,41,,,,,74.39638749,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",PR,PR,18.220833,-66.590149,Puerto Rico,84,Millions,166260.469,1857.645142,32090,65506,25215,288424,10543
56,2006-0348-ROU,2006,Heat wave,Romania,ROU,Eastern Europe,Europe,,,,,36,2006,6,29,2006,7,,26,200,,,200,74.39638749,"Bucarest, Galati, Mehedinti provinces",RO,RO,45.943161,24.96676,Romania,85,Millions,342762.6,291.0040894,31023,78243,8188,143729,21234
57,2007-0235-BGR,2007,Heat wave,Bulgaria,BGR,Eastern Europe,Europe,Wildfire,Drought,,Yes,46,2007,6,,2007,7,,2,50,,,50,76.5186792,"Blagoevgrad, Burgas, Dobrich, Gabrovo, Haskovo, Jambol, Kardzhali, Kustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smoljan, Sofia, Sofia-city, Stara Zagora, Targovishte, Varna, Veliko Tarnovo, Vidin, Vratca provinces",BG,BG,42.733883,25.48583,Bulgaria,88,Millions,63454.888,361.2349854,25237,36889,6642,111527,7577
58,2007-0235-GRC,2007,Heat wave,Greece,GRC,Southern Europe,Europe,Wildfire,,,,46,2007,6,,2007,7,,16,,,,,76.5186792,"Corfu Isl. (kerkyras district, Ionioi Nisoi province), Sterea Ellada, Peloponnisos, Thessalia, Dytiki Ellada, Attiki, Notio Aigaio province",GR,GR,39.074208,21.824312,Greece,89,Millions,232694.5927,2426.759521,39299,150167,1794,271333,11120
59,2007-0235-ALB,2007,Heat wave,Albania,ALB,Southern Europe,Europe,,,,,,2007,7,15,2007,7,22,,,150,,150,76.5186792,"Berat, Bulqize, Delvine, Devoll, Diber, Durres, Elbasan, Fier, Gjirokastër, Gramsh, Has, Kavaje, Kolonjë, Korce, Krujë, Kucove, Kukës, Kurbin, Lezhë, Librazhd, Lushnjë, Malesi E Madhe, Mallakaster, Mat, Mirditë, Peqin, Permet, Pogradec, Puke, Sarandë, Shkoder, Skrapar, Tepelenë, Tirane, Tropojë, Vlore provinces",AL,AL,41.153332,20.168331,Albania,90,Millions,965527.7601,222.3036652,37284,144634,4244,215903,3034
60,2007-0235-AUT,2007,Heat wave,Austria,AUT,Western Europe,Europe,,,,,39,2007,7,,2007,7,,5,,,,,76.5186792,"Burgenland, Karnten, Niederosterreich, Steiermark, Wien provinces",AU,AU,-25.274398,133.775136,Australia,91,Millions,283977.97,4478.768555,58442,178226,55420,364016,8314
61,2007-0235-CYP,2007,Heat wave,Cyprus,CYP,Western Asia,Asia,,,,,42,2007,6,,2007,7,,4,,,,,76.5186792,"Famgusta, Kyrenia, Larnaca, Limassol, Nicosia, Paphos provinces",CY,CY,35.126413,33.429859,Cyprus,93,Millions,17511.579,1694.271851,15961,123157,4182,317057,1064
62,2007-0235-HUN,2007,Heat wave,Hungary,HUN,Eastern Europe,Europe,,,,,42,2007,7,,2007,7,,500,,,,,76.5186792,"Bacs-kiskun, Baranya, Bekes, Borsod-abauj-zemplen, Budapest, Csongrad, Fejer, Gyor-moson-sopron, Hajdu-bihar, Heves, Jasz-nagykun-szolnok, Komarom-esztergom, Nograd, Pest, Somogy, Szabolcs-szatmar-bereg, Tolna, Vas, Veszprem, Zala provinces",HU,HU,47.162494,19.503304,Hungary,94,Millions,25749398,1003.258179,34920,88368,44330,195475,10024
63,2007-0207-IND,2007,Heat wave,India,IND,Southern Asia,Asia,,,,,45,2007,4,,2007,6,,72,,,,,76.5186792,"Uttar Pradesh, Rajasthan, Punjab, Delhi provinces",IN,IN,20.593684,78.96288,India,95,Millions,47141900,35.85623932,25833,112458,9391,134129,1183209
64,2007-0235-ROU,2007,Heat wave,Romania,ROU,Eastern Europe,Europe,Drought,,,,45,2007,6,,2007,7,,30,,,,,76.5186792,"Caras-severin, Dolj, Olt, Teleorman, Giurgiu, Bucuresti, Iasi provinces",RO,RO,45.943161,24.96676,Romania,96,Millions,425691.1,415.0679016,16452,65008,7644,122393,21034
65,2007-0235-ITA,2007,Heat wave,Italy,ITA,Southern Europe,Europe,Wildfire,,,,45,2007,6,,2007,6,,6,,,,,76.5186792,"Calabria, Sicilia, Trentino-alto Adige provinces",IT,IT,41.87194,12.56738,Italy,97,Millions,1614839.8,3092.558838,51740,141705,13859,255947,58748
66,2007-0235-TUR,2007,Heat wave,Turkey,TUR,Western Asia,Asia,Wildfire,,,,43,2007,6,,2007,6,,3,,,,,76.5186792,"Burdur, Sinop provinces",TU,TU,38.963745,35.243322,Turkey,99,Millions,887714.414,512.8482666,24102,136219,7413,308106,69582
67,2007-0358-JPN,2007,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,41,2007,8,,2007,8,17,62,3000,,,3000,76.5186792,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",JP,JP,36.204824,138.252924,Japan,100,Millions,539281600,2772.697021,60621,178457,72461,303959,128494
68,2008-0662-JPN,2008,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,,2008,7,,2008,7,,47,,,,,79.4563044,All country,JP,JP,36.204824,138.252924,Japan,102,Millions,527823800,3213.695557,62624,179020,73425,305268,128539
69,2009-0616-AUS,2009,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,49,2009,1,27,2009,2,8,347,2000,,,2000,79.17380276,"Victoria, New South wales (South), Tasmania (Northern) provinces",AU,AU,-25.274398,133.775136,Australia,104,Millions,1262608,3995.340088,16514,126434,56007,270771,21751
70,2009-0175-IND,2009,Heat wave,India,IND,Southern Asia,Asia,,,,,48,2009,4,14,2009,6,26,120,25,,,25,79.17380276,"Orissa, West Bengal, Bihar, Uttar Pradesh, Jharkhand, Andhra Pradesh provinces",IN,IN,20.593684,78.96288,India,105,Millions,59895400,38.30339432,25808,112350,9888,134010,1217726
71,2010-0057-BRA,2010,Heat wave,Brazil,BRA,South America,Americas,,,,,46,2010,2,,2010,2,,32,,,,,80.47228515,"Cariocas borough (Nova Lima district, Minas Gerais province), Santos district (Sao Paulo province)",BR,BR,-14.235004,-51.92528,Brazil,106,Millions,3885847,896.6971436,40406,156406,11638,228283,195714
